# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-p" "-t" "exon" "-g" "gene_id" "-a" "reference/gencode.v44.annotation.gtf" "-o" "counts/gene_counts.txt" "aligned/SRR1039508_sorted.bam" "aligned/SRR1039509_sorted.bam" "aligned/SRR1039510_sorted.bam" "aligned/SRR1039511_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aligned/SRR1039508_sorted.bam	aligned/SRR1039509_sorted.bam	aligned/SRR1039510_sorted.bam	aligned/SRR1039511_sorted.bam
ENSG00000268903.1	chr1	135141	135895	-	755	0	0	0	0
ENSG00000269981.1	chr1	137682	137965	-	284	0	0	0	0
ENSG00000239906.1	chr1;chr1	139790;140075	139847;140339	-;-	323	0	0	0	0
ENSG00000241860.7	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	141474;142808;146386;146386;146386;146642;155767;164263;165491;165884;165889;167129;167959;168100;168100;168610;169049;169049;169049;172557;173753	143011;143011;146509;146509;149707;146831;155831;164791;165942;165942;165942;168165;168165;168165;168165;168767;169240;169210;169264;172688;173862	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7559	1	0	0	3
ENSG00000222623.1	chr1	157784	157887	-	104	0	0	0	0
ENSG00000241599.1	chr1;chr1	160446;161314	160690;161525	+;+	457	0	0	0	0
ENSG00000279928.2	chr1;chr1;chr1;chr1;chr1	182696;183132;183494;183740;183981	182746;183216;183571;183901;184174	+;+;+;+;+	570	1	0	3	0
ENSG00000279457.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	185217;185491;186317;187129;187376;187755;188130;188439;188791;195263	185350;185559;186469;187287;187577;187890;188266;188584;188902;195411	-;-;-;-;-;-;-;-;-;-	1397	71	67	74	87
ENSG00000273874.1	chr1	187891	187958	-	68	1	0	1	0
ENSG00000228463.10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	257864;257913;258144;258524;258568;261550;263015;264604;267303;267303;268667;268667;268667;289266;297345;356685;358049;359345	259025;259025;259025;259025;259024;261634;268204;264733;268204;268204;268816;268816;268816;289370;297502;357586;358183;359681	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8224	36	12	25	9
ENSG00000286448.1	chr1;chr1	266855;268122	267056;268655	+;+	736	0	0	0	0
ENSG00000236679.2	chr1	347982	348366	-	385	3	2	0	1
ENSG00000236601.2	chr1;chr1;chr1;chr1;chr1;chr1	358857;358872;360057;365171;365171;365171	358929;358957;360168;366052;365510;365704	+;+;+;+;+;+	1095	0	0	0	0
ENSG00000290385.1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	365389;365395;365615;366019;368251;373144;373182;379769;379769;476364;484832;485040;485040;485066;489361;494382;494464;494475;494611;494771;494992;494992;494992;494992;494992;495277;495277;496264;497109;497109;497109;497134;497205;497210;497240;497245;497275;498047;498073;498073;498073;498281;498399;498399;498399;498399;498399;498399;498399;498399;498684;498684;498684;498684;498984;501556;501556;501556;501556;501556;501588;501604;502187;502465;502465;502465;502465;502465;502862;504470;504865;504980;504980;514359;514359;514359;514359;517156;517185;517185;522859	365692;365692;365692;366151;368450;373323;373323;379870;379972;476945;485208;485208;485208;485208;489553;494586;494898;494898;494898;494898;495049;495049;495049;495049;495049;495368;495476;496605;497299;497299;497259;497299;497228;497299;497299;497299;497299;498305;498305;498305;498305;498305;498456;498456;498976;498456;498456;498456;498456;498456;499175;499002;499175;498976;499369;501607;501620;501620;501620;501620;501620;501620;502243;502661;502598;502873;502598;502508;502955;504933;505103;505103;505103;514423;514413;514423;514423;517225;517266;517252;522928	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6204	2	8	10	8
ENSG00000269732.1	chr1	439870	440232	+	363	0	0	0	0
ENSG00000284733.2	chr1	450740	451678	-	939	0	0	0	0
ENSG00000237094.13	chr1	485026	485208	-	183	0	0	0	0
ENSG00000233653.3	chr1;chr1	487101;489717	489387;489906	+;+	2477	0	1	0	0
ENSG00000250575.1	chr1;chr1	491225;492768	491989;493241	-;-	1239	0	0	0	0
ENSG00000278757.1	chr1	516376	516479	-	104	0	0	0	0
ENSG00000230021.10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	586071;586278;586821;586821;586945;588117;594191;594198;594308;594308;594308;594458;594629;597299;601398;601398;601398;601398;601398;601398;601436;607955;607955;607955;607955;607955;607955;612741;612741;627377;627961;628919;628919;628919;631131;631131;633044;698927;698927;701936;703685;703685;711711;711711;711765;711867;720024;720032;720032;720032;720032;720032;720053;724358;732017;732017;732981;827670;827670	586358;586358;586955;586955;586955;588453;594756;594756;594756;594756;594756;594756;594756;598551;601577;601577;601577;601577;601577;601577;601577;608056;608056;608056;608056;608056;608056;612864;612813;627823;628223;629006;629006;629006;631150;631204;633129;698959;698959;702340;703789;703789;711922;711922;711922;711922;720206;720200;720150;720200;720200;720194;720200;724564;732212;732207;733064;827769;827796	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5495	6	7	0	8
ENSG00000235146.2	chr1;chr1;chr1;chr1	587629;587668;594235;594235	587701;587729;594768;594574	+;+;+;+	635	0	0	0	0
ENSG00000225972.1	chr1	629062	629433	+	372	18	10	7	6
ENSG00000225630.1	chr1	629640	630683	+	1044	3773	3721	3615	4188
ENSG00000237973.1	chr1	631074	632616	+	1543	2113	2400	2601	2640
ENSG00000278791.1	chr1	632325	632413	-	89	0	0	0	0
ENSG00000229344.1	chr1	632757	633438	+	682	14	12	14	14
ENSG00000240409.1	chr1	633535	633741	+	207	3	3	7	7
ENSG00000248527.1	chr1	633696	634376	+	681	11963	12451	11961	13172
ENSG00000198744.5	chr1	634376	634922	+	547	32	45	59	56
ENSG00000268663.1	chr1	674842	675265	+	424	0	0	0	0
ENSG00000284662.2	chr1	685716	686654	-	939	0	0	0	0
ENSG00000229376.3	chr1;chr1	722092;724718	724360;724903	+;+	2455	2	3	3	2
ENSG00000291215.1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	725885;733307;735423;743180;744195;744728;746695;756077;758967;764723;766329;768548;769497;772976;774171;777752;778284	729804;733364;735613;743350;744391;744825;746818;756141;759123;765247;766387;768613;769712;773107;774280;778688;778663	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7026	37	43	52	47
ENSG00000223181.1	chr1	758233	758336	-	104	0	0	0	0
ENSG00000229905.1	chr1;chr1	760911;761778	761154;761989	+;+	456	0	0	0	0
ENSG00000228327.6	chr1;chr1;chr1;chr1;chr1	764723;765144;766329;768548;774171	764800;765247;766387;768613;774280	-;-;-;-;-	417	0	0	0	0
ENSG00000237491.10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	778747;778747;778758;778760;778760;778770;778782;778796;778802;778809;778809;778812;778812;778849;778930;778937;778972;781937;781937;781937;781937;783111;783111;784370;784370;784370;784370;784370;784370;784370;784370;784370;784370;784370;784370;784370;784370;784396;785800;786393;786393;792882;792882;795470;795470;795470;801607;803567;803567;803567;803567;803836;803919;803919;803919;803919;803919;803919;803919;803919;803919;803919;803919;803919;803919;803922;803922;803934;803951;803951;803951;803951;804776;804776;804776;804776;804776;804776;804776;804776;804776;804776;804776;804776;804776;804776;804776;804776;804776;804776;806386;807217;807217;807217;807217;807217;807217;807217;807217;807217;807217;807217;809622;809622;809622;809622;809658;809658;809658;809658;809658	779092;779092;779092;779092;779092;779092;779092;779092;779092;779092;779092;779092;779092;779092;779092;779092;779092;782043;782136;782191;782136;783363;783363;784493;784493;784493;784493;784493;784493;784493;784759;784977;784493;784493;784655;784429;784690;784493;787672;786866;787186;793041;793041;795582;795513;795582;801876;803667;803667;803667;803667;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;804222;807435;804966;806580;804966;805127;805270;804966;804832;804966;805272;804966;804966;804840;804840;805270;804966;805994;804966;806459;807321;807323;807314;808378;807323;807323;807323;807323;807323;807323;807323;810062;810062;810062;810063;809729;810057;810065;810057;810047	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8413	18	24	19	18
ENSG00000285268.1	chr1	781937	782050	+	114	0	0	0	0
ENSG00000290784.1	chr1;chr1;chr1;chr1;chr1	800879;805799;808574;810067;817373	801163;805891;808623;810170;817712	-;-;-;-;-	872	3	3	4	3
ENSG00000230092.8	chr1;chr1;chr1	805799;808574;810067	805891;808623;810161	-;-;-	238	0	0	0	0
ENSG00000177757.2	chr1;chr1	817371;818723	818202;819837	+;+	1947	4	6	6	10
ENSG00000225880.6	chr1	824228	827539	-	3312	31	36	27	38
ENSG00000228794.12	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	825138;826832;826853;827598;827603;827604;827608;827608;827608;827635;827635;827635;827637;827643;827652;827652;827654;827657;827659;827659;827659;827661;827667;827667;827667;827667;827667;827673;827673;827692;827693;827702;827721;827769;827771;827771;827774;827806;827815;827821;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;831578;831605;831617;841200;841200;841200;841200;841200;841200;841200;841200;841200;841200;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;847654;849484;849484;849484;849484;849484;849484;849484;850178;850178;850181;850181;851348;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;852651;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;852671;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;853391;856449;856449;856449;856449;856449;856449;856449;856449;856449	825552;826923;826923;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827849;827853;827853;827849;827849;828127;827853;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829407;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;831677;831677;831677;842020;843594;841999;842001;841373;842001;841373;841373;846365;844498;847806;847806;847806;847806;847806;847806;847806;847806;847806;847806;847806;847806;847806;847806;847806;847806;847806;849162;847806;847806;847806;847806;847806;849602;849602;849602;849602;849602;851125;849592;850351;850351;850351;850351;852110;852110;852094;852515;852110;852110;852089;852110;852089;852110;852110;852014;852110;852110;852110;854096;852110;852110;852110;852110;852110;852014;852110;852110;852110;852110;852110;852766;852110;852110;852110;852110;852110;852233;852670;852752;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;852766;854096;854385;855136;854423;854422;854387;854411;854387;855121;855136;855136;854385;854101;854096;854396;854423;854394;854387;854103;855121;854401;854398;855121;854411;855136;855136;855136;859446;854385;854396;857188;857190;857138;857246;857905;859408;859332;857246;859085	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	17958	487	522	455	555
ENSG00000288531.1	chr1;chr1;chr1;chr1;chr1	860226;860227;865260;865260;867420	861273;861273;866720;865499;868202	+;+;+;+;+	3292	0	0	1	2
ENSG00000230368.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	868071;868240;868403;868627;869528;870086;874112;875040;876746;876746	868675;868530;868675;868675;869575;870201;875155;875155;876802;876903	-;-;-;-;-;-;-;-;-;-	1971	0	0	0	0
ENSG00000234711.1	chr1	873292	874349	+	1058	0	2	1	0
ENSG00000283040.1	chr1;chr1;chr1;chr1;chr1	874529;875047;875526;876527;876755	874591;875155;875625;876611;877234	-;-;-;-;-	837	0	0	0	0
ENSG00000272438.1	chr1;chr1	904834;915750	904957;915976	+;+	351	0	0	3	0
ENSG00000230699.2	chr1;chr1	911435;911945	911473;914948	+;+	3043	6	0	15	2
ENSG00000241180.1	chr1;chr1	914171;914803	914444;914971	+;+	443	0	0	0	0
ENSG00000223764.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1	916865;916870;917370;918022;918022;918825;919335	921016;917720;917486;918110;918534;918915;919692	-;-;-;-;-;-;-	4152	58	30	105	10
ENSG00000187634.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	923923;923923;925150;925731;925922;925922;925922;925922;925942;925942;925942;925942;925942;930155;930155;930155;930155;930155;930155;930155;930155;930155;930312;931039;931039;931039;931039;931039;931039;931039;931039;931039;935772;935772;935772;935772;935772;935772;935772;935772;935772;935772;939040;939040;939040;939040;939040;939040;939040;939040;939040;939272;939272;939272;939272;939272;939275;939275;939275;939275;940346;941076;941144;941144;941144;941144;941144;941144;941144;941144;941144;942103;942136;942136;942136;942136;942136;942136;942136;942136;942136;942136;942166;942410;942410;942410;942410;942410;942410;942410;942410;942410;942410;942410;942410;942559;942559;942559;942559;942559;942559;942559;942559;942559;942559;942559;942559;943253;943253;943253;943253;943253;943253;943253;943253;943253;943253;943698;943698;943698;943698;943698;943698;943698;943698;943698;943698;943908;943908;943908;943908;943908;943908;943908;943908;943971	924948;924948;925189;925800;926013;926013;926013;926013;926013;926013;926013;926013;926013;930336;930336;930336;930336;930336;930336;930336;930336;930336;930336;931089;931089;931089;931089;931089;931089;931089;931089;931089;935896;935896;935896;935896;935896;935896;935793;935896;935896;935896;939129;939129;939129;939129;939129;939129;939129;939129;939129;939460;939412;939460;939412;939412;939460;939412;939460;939412;940462;941306;941306;941306;941306;941306;941306;941306;941306;941306;941306;942251;942251;942173;942251;942251;942251;942251;942251;942251;942251;942251;942488;942488;942802;942488;942488;942488;942488;942488;942488;942488;942488;942488;942488;942892;942994;943058;943058;943058;943058;943058;943058;943058;943058;943058;943058;943377;943377;943377;943377;943377;943377;943377;943377;943377;943377;943808;944259;943808;943808;943808;943808;943808;943808;943808;943808;944575;944153;944153;944153;944153;944574;944574;944574;944153	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4172	286	141	321	100
ENSG00000188976.11	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	944203;944204;944205;945042;945042;945057;945319;945518;945518;945518;945518;946173;946173;946173;946402;946402;946402;948131;948131;948490;948490;951127;951127;952000;952000;952412;952412;953175;953175;953782;953782;954004;954004;954426;955923;955923;955923;956095;956095;956095;956894;956894;956894;957099;957099;957099;958246;958929;958929;959215;959215;959215	944800;944800;944800;945146;945146;945146;945422;945653;945562;945653;945653;946286;946286;946286;946545;947060;946545;948232;948232;948603;948603;951238;951238;952139;952139;952600;952600;953288;953288;953892;953892;954523;954082;954523;956013;956013;956013;956215;956215;956215;957025;957025;957025;957273;958458;957273;959081;959081;959081;959256;959309;959256	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5540	1932	2197	2061	1928
ENSG00000187961.15	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	960584;961293;961449;961629;961826;961826;962355;962704;962727;963032;963109;963337;963337;963552;963920;963920;964107;964107;964107;964349;964349;964963	960800;961552;961750;961750;962478;962047;962471;962917;962917;963253;963253;963504;963504;964008;964008;964008;964164;964167;964180;964530;964530;965719	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3402	430	471	521	380
ENSG00000187583.11	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	966482;966502;966502;966704;966704;966704;970277;970277;970277;970521;970521;970521;970686;970686;970686;970875;970879;970879;971077;971077;971077;971113;971324;971324;971324;971324;972075;972075;972075;972288;972288;972288;972861;972861;972861;973186;973186;973500;973500;973500;973512;973833;973833;973833;973833;974316;974316;974316;974316;974442;974442;974442;974442;975712	966614;966614;966614;966803;966803;966803;970423;970423;970423;970601;970601;970601;971006;970758;970758;971006;971006;971006;971208;971208;971208;971208;971523;971404;971404;971404;972150;972150;972150;972424;972424;972424;973010;973010;973010;973326;973326;973640;973640;973640;973640;974051;974051;974051;974051;974364;974364;974364;974364;974588;975008;975008;975865;975865	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3451	33	17	19	12
ENSG00000187642.10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	975198;975204;975205;976121;976499;976499;976499;976499;978881;978881;978881;981137;982065;982065;982065	976269;976269;976269;976269;976624;976624;976624;976641;981047;980657;981173;981173;982117;982093;982093	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3561	2	0	5	0
ENSG00000272512.1	chr1	995966	998051	-	2086	0	4	0	2
